IE_XML_ID;IE_NAME;IE_ID;IE_ACTIVE;IE_ACTIVE_FROM;IE_ACTIVE_TO;IE_PREVIEW_PICTURE;IE_PREVIEW_TEXT;IE_PREVIEW_TEXT_TYPE;IE_DETAIL_PICTURE;IE_DETAIL_TEXT;IE_DETAIL_TEXT_TYPE;IE_CODE;IE_SORT;IE_TAGS;IP_PROP27;IP_PROP29;IP_PROP28;IP_PROP30;IP_PROP31;IP_PROP32;IP_PROP33;IP_PROP34;IP_PROP35;IP_PROP36;IP_PROP37;IP_PROP38;IC_GROUP0;IC_GROUP1;IC_GROUP2
394;Naksan;344;Y;;;/upload/iblock/ca8/ca8225863ae28aa0a0187439068f7106.png;;html;;;text;naksan;132;;kzqwnfd2;Turkey;;NAKSAN METAL DIS TIC. A.S.;/upload/iblock/e67/e67f8feeffa1b0ce6ce42ea3000207f0.svg;https://www.kompas.com.tr/;https://www.kompas.com.tr/;;info@kompas.com.tr;+90 (212) 875-86-50;Expert Reseller;KOMPAS;;;
394;Naksan;344;Y;;;/upload/iblock/ca8/ca8225863ae28aa0a0187439068f7106.png;;html;;;text;naksan;132;;kzqwnfd2;Turkey;;NAKSAN METAL DIS TIC. A.S.;/upload/iblock/e67/e67f8feeffa1b0ce6ce42ea3000207f0.svg;https://www.kompas.com.tr/;https://www.kompas.com.tr/;;info@kompas.com.tr;+90 (212) 875-86-50;Expert Reseller;Pilot;;;
394;Naksan;344;Y;;;/upload/iblock/ca8/ca8225863ae28aa0a0187439068f7106.png;;html;;;text;naksan;132;;kzqwnfd2;Turkey;;NAKSAN METAL DIS TIC. A.S.;/upload/iblock/e67/e67f8feeffa1b0ce6ce42ea3000207f0.svg;https://www.kompas.com.tr/;https://www.kompas.com.tr/;;info@kompas.com.tr;+90 (212) 875-86-50;Exclusive Distributor;KOMPAS;;;
394;Naksan;344;Y;;;/upload/iblock/ca8/ca8225863ae28aa0a0187439068f7106.png;;html;;;text;naksan;132;;kzqwnfd2;Turkey;;NAKSAN METAL DIS TIC. A.S.;/upload/iblock/e67/e67f8feeffa1b0ce6ce42ea3000207f0.svg;https://www.kompas.com.tr/;https://www.kompas.com.tr/;;info@kompas.com.tr;+90 (212) 875-86-50;Exclusive Distributor;Pilot;;;
395;Encon Vietnam;345;Y;;;/upload/iblock/901/90123a4d5b4b5495216f3085fe4af347.png;;html;;;text;encon;137;;kzqwnfd2;Vietnam;;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;http://encon-solutions.com/en/products/rengabim/;;contact@encon-solutions.com;+84 28 7109 9570;Expert Reseller;KOMPAS;;;
395;Encon Vietnam;345;Y;;;/upload/iblock/901/90123a4d5b4b5495216f3085fe4af347.png;;html;;;text;encon;137;;kzqwnfd2;Vietnam;;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;http://encon-solutions.com/en/products/rengabim/;;contact@encon-solutions.com;+84 28 7109 9570;Expert Reseller;Pilot;;;
395;Encon Vietnam;345;Y;;;/upload/iblock/901/90123a4d5b4b5495216f3085fe4af347.png;;html;;;text;encon;137;;kzqwnfd2;Vietnam;;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;http://encon-solutions.com/en/products/rengabim/;;contact@encon-solutions.com;+84 28 7109 9570;Expert Reseller;Renga;;;
395;Encon Vietnam;345;Y;;;/upload/iblock/901/90123a4d5b4b5495216f3085fe4af347.png;;html;;;text;encon;137;;kzqwnfd2;Vietnam;;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;http://encon-solutions.com/en/products/rengabim/;;contact@encon-solutions.com;+84 28 7109 9570;Exclusive Distributor;KOMPAS;;;
395;Encon Vietnam;345;Y;;;/upload/iblock/901/90123a4d5b4b5495216f3085fe4af347.png;;html;;;text;encon;137;;kzqwnfd2;Vietnam;;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;http://encon-solutions.com/en/products/rengabim/;;contact@encon-solutions.com;+84 28 7109 9570;Exclusive Distributor;Pilot;;;
395;Encon Vietnam;345;Y;;;/upload/iblock/901/90123a4d5b4b5495216f3085fe4af347.png;;html;;;text;encon;137;;kzqwnfd2;Vietnam;;ENCON VIETNAM LLC;;http://encon-solutions.com/en/home/;http://encon-solutions.com/en/products/rengabim/;;contact@encon-solutions.com;+84 28 7109 9570;Exclusive Distributor;Renga;;;
397;Softline Russia;346;Y;;;/upload/iblock/13c/13c93117ea75563fff9524e6806e4fc9.png;;html;;;text;softline-russia;125;;kzqwnfd2;Russia;;SoftLine Trade JSC;;https://softline.com/;https://store.softline.ru/ascon/;;cad@softlinegroup.com;+7 (495) 232-00-23;Reseller;KOMPAS;;;
397;Softline Russia;346;Y;;;/upload/iblock/13c/13c93117ea75563fff9524e6806e4fc9.png;;html;;;text;softline-russia;125;;kzqwnfd2;Russia;;SoftLine Trade JSC;;https://softline.com/;https://store.softline.ru/ascon/;;cad@softlinegroup.com;+7 (495) 232-00-23;Reseller;Pilot;;;
397;Softline Russia;346;Y;;;/upload/iblock/13c/13c93117ea75563fff9524e6806e4fc9.png;;html;;;text;softline-russia;125;;kzqwnfd2;Russia;;SoftLine Trade JSC;;https://softline.com/;https://store.softline.ru/ascon/;;cad@softlinegroup.com;+7 (495) 232-00-23;Reseller;Renga;;;
401;Axoft Russia;347;Y;;;/upload/iblock/ce2/ce22c0fdc1200e68ca636e572f13d4d8.png;;html;;;text;axoft;125;;kzqwnfd2;Russia;;Axoft JSC;;https://axoft.ru/;;;graphics@axoft.ru;+7 495 232-52-15;Distributor;KOMPAS;;;
401;Axoft Russia;347;Y;;;/upload/iblock/ce2/ce22c0fdc1200e68ca636e572f13d4d8.png;;html;;;text;axoft;125;;kzqwnfd2;Russia;;Axoft JSC;;https://axoft.ru/;;;graphics@axoft.ru;+7 495 232-52-15;Distributor;Renga;;;
404;Axoft Mongolia;348;Y;;;/upload/iblock/81d/81d1e6ccc3ea728865ab9b37dc54ee95.png;;html;;;text;axoft-mongolia;119;;hko37enu;Mongolia;347;Axoft Mongolia;;https://www.axoft.mn/;;;info@axoft.mn;+ (976) 758-50-797;Distributor;KOMPAS;;;
404;Axoft Mongolia;348;Y;;;/upload/iblock/81d/81d1e6ccc3ea728865ab9b37dc54ee95.png;;html;;;text;axoft-mongolia;119;;hko37enu;Mongolia;347;Axoft Mongolia;;https://www.axoft.mn/;;;info@axoft.mn;+ (976) 758-50-797;Distributor;Renga;;;
405;Encon India;349;Y;;;/upload/iblock/445/4453bdc2dff9ad3d1a98b4b49e50654c.png;;html;;;text;encon-india;113;;hko37enu;India;345;уточнить;;уточнить;;;уточнить;уточнить;Expert Reseller;KOMPAS;;;
405;Encon India;349;Y;;;/upload/iblock/445/4453bdc2dff9ad3d1a98b4b49e50654c.png;;html;;;text;encon-india;113;;hko37enu;India;345;уточнить;;уточнить;;;уточнить;уточнить;Expert Reseller;Pilot;;;
405;Encon India;349;Y;;;/upload/iblock/445/4453bdc2dff9ad3d1a98b4b49e50654c.png;;html;;;text;encon-india;113;;hko37enu;India;345;уточнить;;уточнить;;;уточнить;уточнить;Expert Reseller;Renga;;;
405;Encon India;349;Y;;;/upload/iblock/445/4453bdc2dff9ad3d1a98b4b49e50654c.png;;html;;;text;encon-india;113;;hko37enu;India;345;уточнить;;уточнить;;;уточнить;уточнить;Distributor;KOMPAS;;;
405;Encon India;349;Y;;;/upload/iblock/445/4453bdc2dff9ad3d1a98b4b49e50654c.png;;html;;;text;encon-india;113;;hko37enu;India;345;уточнить;;уточнить;;;уточнить;уточнить;Distributor;Pilot;;;
405;Encon India;349;Y;;;/upload/iblock/445/4453bdc2dff9ad3d1a98b4b49e50654c.png;;html;;;text;encon-india;113;;hko37enu;India;345;уточнить;;уточнить;;;уточнить;уточнить;Distributor;Renga;;;
407;Softline Azerbaijan;351;Y;;;/upload/iblock/5a1/5a14acc8627845deebcb064c358fe852.png;;html;;;text;softline-azerbaijan;104;;hko37enu;Azerbaijan;346;уточнить;;https://softline.az/;;;info@softline.az;+99 (412) 597-55-29;Reseller;KOMPAS;;;
407;Softline Azerbaijan;351;Y;;;/upload/iblock/5a1/5a14acc8627845deebcb064c358fe852.png;;html;;;text;softline-azerbaijan;104;;hko37enu;Azerbaijan;346;уточнить;;https://softline.az/;;;info@softline.az;+99 (412) 597-55-29;Reseller;Pilot;;;
407;Softline Azerbaijan;351;Y;;;/upload/iblock/5a1/5a14acc8627845deebcb064c358fe852.png;;html;;;text;softline-azerbaijan;104;;hko37enu;Azerbaijan;346;уточнить;;https://softline.az/;;;info@softline.az;+99 (412) 597-55-29;Reseller;Renga;;;
408;Softline Belarus;352;Y;;;/upload/iblock/ca5/ca5db1c607b5fdd407f140c687991da8.png;;html;;;text;softline-belarus;105;;hko37enu;Belarus;346;уточнить;;https://softline.by/;;;info.by@softlinegroup.com;+375 (17) 336-55-95;Reseller;KOMPAS;;;
408;Softline Belarus;352;Y;;;/upload/iblock/ca5/ca5db1c607b5fdd407f140c687991da8.png;;html;;;text;softline-belarus;105;;hko37enu;Belarus;346;уточнить;;https://softline.by/;;;info.by@softlinegroup.com;+375 (17) 336-55-95;Reseller;Pilot;;;
408;Softline Belarus;352;Y;;;/upload/iblock/ca5/ca5db1c607b5fdd407f140c687991da8.png;;html;;;text;softline-belarus;105;;hko37enu;Belarus;346;уточнить;;https://softline.by/;;;info.by@softlinegroup.com;+375 (17) 336-55-95;Reseller;Renga;;;
423;CAM-Profi;353;Y;;;/upload/iblock/5c8/5c87d8b6231a609ea9570fddb36cc1a8.png;;html;;;text;cam-profi;103;;kzqwnfd2;Austria;;CAM-Profi;;https://www.cam-profi.at/;www.kompas3d.at;;mayr@cam-profi.at;+43 (664) 518-67-66;Expert Reseller;KOMPAS;;;
425;Axoft Belarus;354;Y;;;/upload/iblock/20e/20e9005eddbed0a23d65bbf915a9dfaa.png;;html;;;text;axoft-belarus;105;;hko37enu;Belarus;347;AXOFT Belarus;;https://store.softline.by/catalog/sapr;;;info@axoft.by;+375 (17) 290-77-93;Distributor;Pilot;;;
